,Evaluation Site,Number of Trees,Precision,Proportion,Recall
0,NIWO,0,0.23126614987080105,0.0,0.10548025928108426
1,NIWO,522,0.5013123359580053,0.05,0.22510312315851502
2,NIWO,2713,0.5389784946236559,0.25,0.23629935179728934
3,NIWO,5779,0.5325520833333334,0.5,0.24101355332940483
4,NIWO,8676,0.5497267759562842,0.75,0.29640542133176195
5,NIWO,8677,0.5856287425149701,1.0,0.2881555686505598
6,NIWO,0,0.23126614987080105,0.0,0.10548025928108426
7,NIWO,555,0.5082382762991128,0.05,0.23629935179728934
8,NIWO,2937,0.5372340425531915,0.25,0.23806717737183264
9,NIWO,5536,0.5165394402035624,0.5,0.23924572775486153
10,NIWO,8635,0.5453539823008849,0.75,0.2905126694166176
11,NIWO,8587,0.5706214689265536,1.0,0.2975839717147908
12,MLBS,0,0.2857142857142857,0.0,0.13496932515337423
13,MLBS,91,0.5565217391304348,0.05,0.523517382413088
14,MLBS,541,0.5285714285714286,0.25,0.5296523517382413
15,MLBS,1147,0.6036446469248291,0.5,0.5419222903885481
16,MLBS,1705,0.5661157024793388,0.75,0.5603271983640081
17,MLBS,1682,0.5599173553719008,1.0,0.5541922290388548
18,MLBS,0,0.2857142857142857,0.0,0.13496932515337423
19,MLBS,83,0.4664371772805508,0.05,0.5541922290388548
20,MLBS,522,0.5473251028806584,0.25,0.5439672801635992
21,MLBS,1099,0.5888888888888889,0.5,0.5419222903885481
22,MLBS,1723,0.6086956521739131,0.75,0.5725971370143149
23,MLBS,1689,0.575,1.0,0.5644171779141104
24,SJER,0,0.34104046242774566,0.0,0.6507352941176471
25,SJER,159,0.6023622047244095,0.05,0.5625
26,SJER,707,0.6019736842105263,0.25,0.6727941176470589
27,SJER,1443,0.5843373493975904,0.5,0.7132352941176471
28,SJER,2205,0.5823529411764706,0.75,0.7279411764705882
29,SJER,2129,0.56973293768546,1.0,0.7058823529411765
30,SJER,0,0.34104046242774566,0.0,0.6507352941176471
31,SJER,140,0.5838926174496645,0.05,0.6397058823529411
32,SJER,706,0.6066666666666667,0.25,0.6691176470588235
33,SJER,1370,0.6109215017064846,0.5,0.6580882352941176
34,SJER,2156,0.6091205211726385,0.75,0.6875
35,SJER,2124,0.5739644970414202,1.0,0.7132352941176471
36,TEAK,0,0.34754797441364604,0.0,0.21618037135278514
37,TEAK,235,0.6057046979865772,0.05,0.47877984084880637
38,TEAK,999,0.6390532544378699,0.25,0.5729442970822282
39,TEAK,1964,0.6896551724137931,0.5,0.610079575596817
40,TEAK,2887,0.6905109489051094,0.75,0.6273209549071618
41,TEAK,2891,0.6741573033707865,1.0,0.636604774535809
42,TEAK,0,0.34754797441364604,0.0,0.21618037135278514
43,TEAK,208,0.6103896103896104,0.05,0.4986737400530504
44,TEAK,916,0.6725521669341894,0.25,0.5557029177718833
45,TEAK,1954,0.6738505747126436,0.5,0.6220159151193634
46,TEAK,2960,0.6704384724186704,0.75,0.6286472148541115
47,TEAK,3009,0.6568213783403657,1.0,0.6193633952254642
