"","treeID","xmin","xmax","ymin","ymax","Algorithm","lidar_path","rgb_path","label","numeric_label","tile_xmin","tile_xmax","tile_ymin","tile_ymax"
"1",1,451042.504,451044.459,4433026.505,4433028.987,"Silva","NEON_D13_NIWO_DP1_451000_4433000_classified_point_cloud.laz","2018_NIWO_2_451000_4433000_image.tif","Tree",1,451000,451999.999,4433000,4433999.999
"2",2,451000.11,451000.491,4433019.553,4433020.468,"Silva","NEON_D13_NIWO_DP1_451000_4433000_classified_point_cloud.laz","2018_NIWO_2_451000_4433000_image.tif","Tree",1,451000,451999.999,4433000,4433999.999
"3",3,451014.08,451014.973,4433020.087,4433020.498,"Silva","NEON_D13_NIWO_DP1_451000_4433000_classified_point_cloud.laz","2018_NIWO_2_451000_4433000_image.tif","Tree",1,451000,451999.999,4433000,4433999.999
"4",4,451009.101,451009.448,4433018.642,4433018.728,"Silva","NEON_D13_NIWO_DP1_451000_4433000_classified_point_cloud.laz","2018_NIWO_2_451000_4433000_image.tif","Tree",1,451000,451999.999,4433000,4433999.999
"5",5,451030.11,451031.764,4433018.068,4433019.362,"Silva","NEON_D13_NIWO_DP1_451000_4433000_classified_point_cloud.laz","2018_NIWO_2_451000_4433000_image.tif","Tree",1,451000,451999.999,4433000,4433999.999
"6",6,451023.004,451024.469,4433012.015,4433013.988,"Silva","NEON_D13_NIWO_DP1_451000_4433000_classified_point_cloud.laz","2018_NIWO_2_451000_4433000_image.tif","Tree",1,451000,451999.999,4433000,4433999.999
"7",7,451003.001,451006.492,4433009.723,4433013.483,"Silva","NEON_D13_NIWO_DP1_451000_4433000_classified_point_cloud.laz","2018_NIWO_2_451000_4433000_image.tif","Tree",1,451000,451999.999,4433000,4433999.999
"8",8,451043.577,451044.972,4433009.012,4433010.999,"Silva","NEON_D13_NIWO_DP1_451000_4433000_classified_point_cloud.laz","2018_NIWO_2_451000_4433000_image.tif","Tree",1,451000,451999.999,4433000,4433999.999
"9",9,451036.1,451037.999,4433009.053,4433010.498,"Silva","NEON_D13_NIWO_DP1_451000_4433000_classified_point_cloud.laz","2018_NIWO_2_451000_4433000_image.tif","Tree",1,451000,451999.999,4433000,4433999.999
"10",10,451024.037,451025.499,4433009.004,4433010.496,"Silva","NEON_D13_NIWO_DP1_451000_4433000_classified_point_cloud.laz","2018_NIWO_2_451000_4433000_image.tif","Tree",1,451000,451999.999,4433000,4433999.999
"11",11,451012.538,451015.997,4433006.004,4433008.994,"Silva","NEON_D13_NIWO_DP1_451000_4433000_classified_point_cloud.laz","2018_NIWO_2_451000_4433000_image.tif","Tree",1,451000,451999.999,4433000,4433999.999
